ID,Song,Artist_ID,Album_ID_1,Album_ID_2,Album_ID_3,Album_ID_4,Album_ID_5,Album_ID_6,Album_ID_7,Album_ID_8,Album_ID_9,Album_ID_10
63,RoboCop,1,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
64,Street Lights,1,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
65,Bad News,1,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
66,See You In My Nightmares,1,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
67,Coldest Winter,1,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
68,Pinocchio Story,1,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
69,Dark Fantasy,1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
70,Gorgeous,1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
71,POWER,1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
72,All Of The Lights (Interlude),1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
73,All Of The Lights,1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
74,Monster,1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
75,So Appalled,1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
76,Devil In A New Dress,1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
77,Runaway,1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
78,Hell Of A Life,1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
79,Blame Game,1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80,Lost In The World,1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81,Who Will Survive In America,1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
82,No Church In The Wild,1,6,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
83,Lift Off,1,6,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84,Ni**as In Paris,1,6,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
85,Otis,1,6,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
86,Gotta Have It,1,6,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
87,New Day,1,6,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
88,That's My Bitch,1,6,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
89,Welcome To The Jungle,1,6,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
90,Who Gon Stop Me,1,6,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
91,Murder To Excellence,1,6,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
92,Made In America,1,6,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
93,Why I Love You,1,6,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94,Illest Motherf**ker Alive,1,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
95,H•A•M,1,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
96,Primetime,1,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
97,The Joy,1,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
98,On Sight,1,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
99,Black Skinhead,1,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100,I Am A God,1,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
101,New Slaves,1,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
102,Hold My Liquor,1,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
103,I'm In It,1,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
104,Blood On The Leaves,1,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
105,Guilt Trip,1,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
106,Send It Up,1,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
107,Bound 2,1,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
108,Ultralight Beam,1,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
109,Father Stretch My Hands Pt. 1,1,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
110,Pt. 2,1,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
111,Famous,1,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
112,Feedback,1,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
113,Low Lights,1,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
114,Highlights,1,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
115,Freestyle 4,1,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
116,I Love Kanye,1,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
117,Waves,1,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
118,FML,1,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
119,Real Friends,1,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120,Wolves,1,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
121,Frank's Track,1,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
122,Siiiiiiiiilver Surffffeeeeer Intermission,1,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
123,30 Hours,1,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
124,No More Parties In LA,1,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
125,Facts (Charlie Heat Version),1,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
126,Fade,1,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
